ticker,n_trades,matrix_avg_net_delta,matrix_sharpe,matrix_hit_rate,matrix_total_pnl,matrix_max_dd,baseline_avg_net_delta,baseline_sharpe,baseline_total_pnl,baseline_max_dd,buyhold_sharpe_overlapping,buyhold_sharpe_true_daily,buyhold_total_pnl,buyhold_max_dd,edge_vs_baseline,edge_vs_buyhold
XOM,605,0.051900826446281,0.4903549630011626,0.24793388429752067,0.36265837948124935,-0.22617202470438624,0.14999999999999997,0.32952399813198013,0.25280516716497425,-0.4143591885397976,0.32952399813198,0.45488028155845117,1.6853677810998282,-2.762394590265316,0.16083096486918247,0.16083096486918258
GS,605,0.04975206611570249,0.9649987319833401,0.22975206611570248,0.8244029280113621,-0.21930108382735825,0.14999999999999997,0.9849506731662157,1.0473122050864574,-0.35582672774135454,0.9849506731662159,0.5314923770456678,6.982081367243051,-2.372178184942364,-0.019951941182875577,-0.0199519411828758
COP,605,0.06446280991735537,0.48709013169413545,0.2413223140495868,0.4514441484751228,-0.23049687006429204,0.14999999999999997,0.7443365179247948,0.791865130803302,-0.470235355273301,0.7443365179247948,0.4442944290913416,5.279100872022013,-3.134902368488677,-0.2572463862306594,-0.2572463862306594
META,378,0.05013227513227514,1.0516941101780815,0.24338624338624337,0.6148628933301235,-0.19179279949948125,0.14999999999999997,1.4958699360670142,0.9667510797078548,-0.2714970157187362,1.4958699360670138,0.6974799206613664,6.445007198052365,-1.8099801047915811,-0.4441758258889328,-0.44417582588893234
ABBV,347,0.06613832853025937,0.7264851466991004,0.2334293948126801,0.35024255337780585,-0.2871939794671306,0.14999999999999997,1.2153390405853437,0.6824166517754471,-0.25852025183027466,1.2153390405853437,0.8391183050832276,4.549444345169647,-1.7234683455351663,-0.48885389388624334,-0.48885389388624334
MCD,605,0.05636363636363638,1.3797267693282778,0.2892561983471074,0.7788176165533199,-0.14697550629045864,0.14999999999999997,1.8951096212107525,1.0758777871284206,-0.14882847465010562,1.8951096212107525,0.7271221008745345,7.172518580856137,-0.9921898310007045,-0.5153828518824748,-0.5153828518824748
NFLX,605,0.04611570247933884,1.1706992997594539,0.2611570247933884,2.5921243110232464,-0.5430309158512027,0.14999999999999997,1.704611524005687,3.532485584073853,-0.7784489750501418,1.7046115240056876,0.8120058676971588,23.549903893825693,-5.18965983366761,-0.5339122242462331,-0.5339122242462337
MS,605,0.05173553719008265,0.399498459088457,0.21322314049586777,0.4103968171335196,-0.2025234661876837,0.14999999999999997,0.9615100569724973,1.1473004650759844,-0.4290245019169181,0.9615100569724973,0.4203544379484221,7.64866976717323,-2.860163346112787,-0.5620115978840403,-0.5620115978840403
VZ,605,0.04950413223140496,0.9712681048888154,0.26611570247933886,0.55657929100754,-0.08038028178016317,0.14999999999999997,1.5404861705609938,1.035113543791835,-0.10412223305886115,1.540486170560994,0.39592048900782606,6.900756958612234,-0.6941482203924059,-0.5692180656721784,-0.5692180656721786
SCHW,605,0.05859504132231405,0.37241827552612733,0.256198347107438,0.3669342498861922,-0.3561223318830585,0.14999999999999997,0.9435822055075522,1.03441927677058,-0.3123190398190522,0.9435822055075522,0.49726615716225814,6.896128511803867,-2.0821269321270224,-0.5711639299814248,-0.5711639299814248
