ticker,n_trades,matrix_sharpe,matrix_total_pnl,matrix_max_dd,matrix_avg_abs_nd,matrix_pct_flat,matrix_premium_sharpe,matrix_premium_total_pnl,variant_sharpe,variant_total_pnl,variant_max_dd,variant_avg_abs_nd,variant_pct_flat,variant2_sharpe,variant2_total_pnl,variant2_avg_abs_nd,baseline_sharpe,buyhold_sharpe_overlapping,buyhold_sharpe_true_daily,variant_vs_matrix,variant_vs_buyhold,variant2_vs_variant,variant2_vs_buyhold,matrix_premium_vs_matrix,matrix_premium_vs_buyhold,matrix_vs_buyhold
V,727,0.2816260853507105,0.18457040252684612,-0.2618578017505938,0.05687757909215957,68.91334250343878,0.21325744108362324,0.14307040252684605,1.564524490203567,5.505968171209979,-0.5750385345158753,0.5633188002575912,0.0,1.564524490203567,5.505968171209979,0.5633188002575912,2.188820044020821,2.18882004402082,0.7858660638847559,1.2828984048528567,-0.624295553817253,0.0,-0.624295553817253,-0.06836864426708725,-1.9755626029371969,-1.9071939586701097
TMO,729,0.3838822200749924,0.2702404930674773,-0.18732476275811702,0.06728395061728396,67.07818930041152,0.4298920643496498,0.31074049306747725,1.5848634044431444,6.06456448421234,-0.7071457399184355,0.5865359856989864,0.0,1.5848634044431444,6.06456448421234,0.5865359856989864,1.5047172608476818,1.5047172608476818,0.6452078803575239,1.200981184368152,0.08014614359546268,0.0,0.08014614359546268,0.04600984427465743,-1.074825196498032,-1.1208350407726893
KO,729,0.19205948886555185,0.11171624839314646,-0.27445327491913585,0.06687242798353911,64.88340192043896,0.05633976384777658,0.03421624839314637,1.3779118673124318,3.5652820530943226,-0.43248609152771733,0.5729557387854061,0.0,1.3779118673124318,3.5652820530943226,0.5729557387854061,1.5641901618770706,1.5641901618770706,0.6090003721867985,1.18585237844688,-0.18627829456463885,0.0,-0.18627829456463885,-0.13571972501777527,-1.507850398029294,-1.3721306730115188
AVGO,704,0.6558752824416658,0.7029159419938973,-0.23757125010478689,0.06207386363636365,68.4659090909091,0.6303778272612299,0.6899159419938973,1.829887643375462,10.98710964130945,-0.9797443614838349,0.576642084610322,0.0,1.464819357732586,8.113363026592326,0.5039774420436521,2.0658918654975085,2.0658918654975085,1.0966752950276264,1.1740123609337962,-0.23600422212204641,-0.36506828564287597,-0.6010725077649224,-0.02549745518043589,-1.4355140382362785,-1.4100165830558427
UNH,729,0.4667897037362396,0.4433827366960083,-0.30221996964590553,0.07647462277091907,62.96296296296296,0.4379878772546055,0.4308827366960083,1.573944660215502,6.933929490588419,-0.8860283889347994,0.5783741201297135,0.0,1.573944660215502,6.933929490588419,0.5783741201297135,1.6081132811861978,1.6081132811861973,0.5327032394558862,1.1071549564792624,-0.034168620970695285,0.0,-0.034168620970695285,-0.028801826481634152,-1.1701254039315918,-1.1413235774499577
JNJ,729,0.8445119294722553,0.4998828169278154,-0.13990074601057634,0.07894375857338821,60.356652949245536,0.6224237468781036,0.3903828169278153,1.7990184382110965,4.746742646606405,-0.38436087914848205,0.5754248745878753,0.0,1.7990184382110965,4.746742646606405,0.5754248745878753,1.8503613940369483,1.8503613940369483,0.6273207820708663,0.9545065087388412,-0.0513429558258518,0.0,-0.0513429558258518,-0.22208818259415164,-1.2279376471588446,-1.005849464564693
RTX,729,0.04476763976500926,0.033407407456485266,-0.32020078183351264,0.06762688614540466,66.94101508916323,0.0018320400442549307,0.0014074074564852275,0.9212584400029389,3.340342353177932,-0.9207460663303275,0.5744646551091372,0.0,0.9212584400029389,3.340342353177932,0.5744646551091372,1.436496796838111,1.4364967968381106,0.5409813491941693,0.8764908002379296,-0.5152383568351717,0.0,-0.5152383568351717,-0.04293559972075433,-1.4346647567938557,-1.3917291570731014
ABBV,534,0.5845571291373178,0.35024320138903964,-0.28719376786180806,0.048595505617977534,73.97003745318352,0.6349577360434714,0.37974320138903955,1.4401385711691874,5.146833886299042,-1.2694668483192357,0.5812777005951949,0.0,1.4401385711691874,5.146833886299042,0.5812777005951949,1.4869749335197409,1.4869749335197409,0.8391184807962362,0.8555814420318696,-0.04683636235055344,0.0,-0.04683636235055344,0.050400606906153556,-0.8520171974762695,-0.902417804382423
PEP,729,0.45882145239644867,0.24805154916647365,-0.1405315622014609,0.0687928669410151,65.29492455418381,0.4239521109021128,0.2395515491664736,1.313005391087481,3.561638262188859,-0.4341290795764139,0.5761793327497409,0.0,1.313005391087481,3.561638262188859,0.5761793327497409,1.3893408657571127,1.3893408657571127,0.490527254292157,0.8541839386910324,-0.07633547466963164,0.0,-0.07633547466963164,-0.03486934149433585,-0.9653887548549999,-0.930519413360664
LOW,729,-0.22323387683876658,-0.24977790965782187,-0.5162475467069838,0.06687242798353911,65.98079561042523,-0.2582192546589252,-0.29227790965782197,0.6049726556364254,3.041104778234772,-1.2525269293618906,0.5708981256166819,0.0,0.6049726556364254,3.041104778234772,0.5708981256166819,1.161481277183199,1.1614812771831995,0.5094864826418134,0.828206532475192,-0.556508621546774,0.0,-0.556508621546774,-0.03498537782015862,-1.4197005318421247,-1.384715154021966
